JobTitle,avg_salary,stddev_salary,count(*)
Programmer,142500.0,29403.797940628916,6
Predictive Modeler,128098.76190476191,49502.69672491135,21
Machine Learning Engineer,119494.52173913043,60073.290640154584,46
Data Miner,114679.16666666667,75449.91497767833,6
Data Scientist,113370.41066666666,62648.02375942926,375
Software Developer/Software Engineer,111517.01052631579,52291.22823762977,95
Other,110874.13483146067,68523.76216315808,89
Engineer,105587.92857142857,57327.80391223495,42
Computer Scientist,103926.36363636363,52203.65578851687,11
Business Analyst,95273.97435897436,41594.51785529828,39
Operations Research Practitioner,94803.38461538461,58902.93150408685,13
Statistician,93343.45833333333,64062.82628858641,24
Scientist/Researcher,92734.14925373135,72054.1733687808,67
Data Analyst,82935.36111111111,45259.91544718423,72
Researcher,82915.5172413793,71960.68635774183,29
DBA/Database Engineer,78978.41176470589,70982.61516079654,17
